name,rank,category
Patrick de Lange,1,advanced
Jarec Schouten,1,advanced
Maurice Jantjes,2,advanced
Tim van Caubergh,2,advanced
Stijn Slebos,3,advanced
Tim Teunis,3,advanced
Yuan Tjiam,4,advanced
Johannes Lang,4,advanced
Dirk van de Riet,5,advanced
Niels de Jonge,5,advanced
Rudo Brus,6,advanced
Jasper Toebes,6,advanced
Koen Huits,7,advanced
Frank Buigel,7,advanced
Eline Meijer,8,advanced
Sophie Bouma,8,advanced
Joep Blanksma,9,advanced
Simen Bootsma,9,advanced
Daniel Peereboom,10,advanced
Bart Haddink,10,advanced
Niels Kadijk,11,advanced
Jacob Franssen,11,advanced
David Moulin,12,advanced
Tjebbe Treub,12,advanced
Joël Van den Berg,13,advanced
Yorik Maatman,13,advanced
Yannick Onstenk,14,advanced
Leon Visser,14,advanced
Roel Oldenkamp,15,advanced
Ilonka Thielen,15,advanced
Daan Buiter,16,advanced
Ennio Mos,16,advanced
Lars Bouma,17,advanced
thomas haan,17,advanced
Jan Derksen,18,advanced
Luc Young,18,advanced
Lauri Schippers,19,advanced
Jessica Borgers,19,advanced
Jannah Sonnenschein,20,advanced
Annabel Beiner,20,advanced
Cristina Bogdan,21,advanced
Sanne Hogesteeger,21,advanced
