name,rank,category
Jarec Schouten,1,advanced
Aleksandrs Juška,1,advanced
Ravi Kandula,2,advanced
Lauma Ernestsone,2,advanced
Simon Spengler,3,advanced
Stan van Manen,3,advanced
Dirk van de Riet,4,advanced
Micha Daling,4,advanced
Stijn Slebos,5,advanced
Tim Teunis,5,advanced
Tomer Kedar,6,advanced
Rens Elbertsen,6,advanced
Niels Kadijk,7,advanced
Ewout van den Pol,7,advanced
Roos van der Donk,8,advanced
Rudo Brus,8,advanced
Dennis Erlenbusch,9,advanced
Anna We,9,advanced
Lorenzo Palm,10,advanced
Ben Frischen,10,advanced
Simen Bootsma,11,advanced
Jacob Franssen,11,advanced
Luc Young,12,advanced
Cedric Omtzigt,12,advanced
Mady Smit,1,intermediate
Roos van der Wielen,1,intermediate
Carel Van Goch,2,intermediate
Agnes Berveling,2,intermediate
Lars Bouma,3,intermediate
Linde Van Wambeke,3,intermediate
Luuk Geelen,4,intermediate
Peter Vree,4,intermediate
Gijs van Gerwen,5,intermediate
Konradin Müskens,5,intermediate
Tom Ottenheim,6,intermediate
Bart Derks,6,intermediate
Jannah Sonnenschein,7,intermediate
Lauri Schippers,7,intermediate
Lise Pieper,8,intermediate
Sarah Sommerschuh,8,intermediate
Marjolijn van Schagen,9,intermediate
Michelle Sudjito,9,intermediate
