name,rank,category
Aleksandrs Juska,1,advanced
Lauma Ernestsone,1,advanced
Rudo Brus,2,advanced
Jeroen Brus,2,advanced
Jarec Schouten,3,advanced
Stan van Manen,3,advanced
Tim Teunis,4,advanced
Joep Blanksma,4,advanced
Dirk van der Riet,5,advanced
Simon Spengler,5,advanced
Tomer Kedar,6,advanced
Rens Elbertsen,6,advanced
Sophie Bouma,7,advanced
Eline Meijer,7,advanced
Stijn Slebos,8,advanced
Ward Nieboer,8,advanced
Jonas Klimt,9,advanced
Ludwig Branzk,9,advanced
Yuan Tjiam,10,advanced
Nicolas Manneback,10,advanced
Jari Verbeek,11,advanced
Gabriele Brazzo,11,advanced
Simen Bootsma,12,advanced
Tjebbe Treub,12,advanced
Bas Cornelissen,13,advanced
Daan beelen ,13,advanced
Adnan Jerbi,14,advanced
Maarten van Beek,14,advanced
David Teel,15,advanced
Sander Breman,15,advanced
Niels Kadijk,16,advanced
Jacob Franssen,16,advanced
Rowan Westerduin,17,advanced
Niels van Oostrum,17,advanced
Pieter van der Plas,18,advanced
Bas Rudolphy,18,advanced
Liam van Hees,19,advanced
Stef Boot,19,advanced
Tom Gobee,20,advanced
Thomas van Echtelt,20,advanced
