name,rank,category
Tomer Kedar,1,advanced
Roos Van Der Wielen,1,advanced
Florian Engelsing,2,advanced
Sam Beard,2,advanced
Klara Schöttgen,3,advanced
Emil Wirsing,3,advanced
Luc Young,4,advanced
Bart Derks,4,advanced
Steffen Gastineau,5,advanced
Sander Breman,5,advanced
Agnes Berveling,6,advanced
Koen Franken,6,advanced
Han Holtmann,7,advanced
Patrick Costa,7,advanced
Remco Klaasman,8,advanced
Milan Klaasman,8,advanced
Rianne Voerman,1,intermediate
Niels Van Weerdenburg,1,intermediate
Klemen Peganc,2,intermediate
Matic Pusser,2,intermediate
Jurriën Van Marle,3,intermediate
Sergio Vianen,3,intermediate
Beleke De Zwart,4,intermediate
Suzanne Slob,4,intermediate
Jannah Sonnenschein,5,intermediate
Lauri Schippers,5,intermediate
Dana Voerman,6,intermediate
Mitchell Hupkens,6,intermediate
Pippa Schippers,7,intermediate
Sanne Schra,7,intermediate
Yvette Weel,8,intermediate
Maud Wieland,8,intermediate
