name,rank,category
Klemen Peganc,1,intermediate
Matic Pusser,1,intermediate
Tomas Vermeulen,2,intermediate
Carien Boessenkool,2,intermediate
David Vermeulen,3,intermediate
Sven Ebels,3,intermediate
Sanne Schra,4,intermediate
Pucki Obermuller,4,intermediate
Marta Devesa Cabrera,5,intermediate
Lise Pieper,5,intermediate
Loes De Groen,6,intermediate
Gosse Metz,6,intermediate
Peter Muller,7,intermediate
Nick E,7,intermediate
Omar El Tambouli,1,advanced
Sam Beard,1,advanced
Luc Young,2,advanced
Simen Bootsma,2,advanced
Bart Derks,3,advanced
Niels Kadijk,3,advanced
Wouter Van Tongeren,4,advanced
Maikel Schils,4,advanced
Sander Breman,5,advanced
Lauri Schippers,5,advanced
Tom Ottenheim,6,advanced
Jacob Franssen,6,advanced
Koen Franken,7,advanced
Carel Van Goch,7,advanced
Lars Jürgensen,8,advanced
Burag Hançer,8,advanced
