name,rank,points,2023-04-22_Enschede_rank,2023-04-22_Enschede_points,2023-04-22_Enschede_points_current,2023-05-27_Groningen_rank,2023-05-27_Groningen_points,2023-05-27_Groningen_points_current,2023-06-17_Amsterdam_rank,2023-06-17_Amsterdam_points,2023-06-17_Amsterdam_points_current,2023-09-02_NK_rank,2023-09-02_NK_points,2023-09-02_NK_points_current,2023-11-26_Enschede_rank,2023-11-26_Enschede_points,2023-11-26_Enschede_points_current,2024-01-20_Amsterdam_rank,2024-01-20_Amsterdam_points,2024-01-20_Amsterdam_points_current,2024-02-11_Groningen_rank,2024-02-11_Groningen_points,2024-02-11_Groningen_points_current,2024-04-06_Enschede_rank,2024-04-06_Enschede_points,2024-04-06_Enschede_points_current,2024-05-04_Groningen_rank,2024-05-04_Groningen_points,2024-05-04_Groningen_points_current,2024-06-01_Amsterdam_rank,2024-06-01_Amsterdam_points,2024-06-01_Amsterdam_points_current,2024-06-29_NK_rank,2024-06-29_NK_points,2024-06-29_NK_points_current
Aleksandrs Juška,1,6980,2.0,900.0,540.0,,,,,,,2.0,2124.0,1699.2,1.0,2060.0,1648.0,1.0,2060.0,2060.0,1.0,2300.0,2300.0,1.0,2230.0,2230.0,,,,,,,1.0,2450.0,2450.0
Jarec Schouten,2,6590,2.0,900.0,540.0,1.0,1770.0,1062.0,1.0,2900.0,1740.0,2.0,2124.0,1699.2,1.0,2060.0,1648.0,1.0,2060.0,2060.0,1.0,2300.0,2300.0,1.0,2230.0,2230.0,,,,7.0,880.0,880.0,3.0,1960.0,1960.0
Stan van Manen,3,6000,8.0,400.0,240.0,,,,7.0,1160.0,696.0,3.0,1888.0,1510.4,3.0,1648.0,1318.4,,,,3.0,1840.0,1840.0,4.0,1561.0,1561.0,1.0,2200.0,2200.0,18.0,330.0,330.0,3.0,1960.0,1960.0
Rudo Brus,4,5749,11.0,300.0,180.0,6.0,885.0,531.0,6.0,1450.0,870.0,6.0,1180.0,944.0,8.0,824.0,659.2,10.0,618.0,618.0,,,,3.0,1784.0,1784.0,3.0,1760.0,1760.0,,,,2.0,2205.0,2205.0
Dirk van de Riet,5,5698,17.0,150.0,90.0,5.0,885.0,531.0,10.0,870.0,522.0,4.0,1652.0,1321.6000000000001,4.0,1442.0,1153.6000000000001,3.0,1648.0,1648.0,2.0,2070.0,2070.0,,,,2.0,1980.0,1980.0,,,,,,
Micha Daling,5,5698,15.0,225.0,135.0,,,,,,,8.0,944.0,755.2,4.0,1442.0,1153.6000000000001,3.0,1648.0,1648.0,2.0,2070.0,2070.0,,,,2.0,1980.0,1980.0,9.0,660.0,660.0,,,
Ravi Kandula,7,5111,,,,,,,1.0,2900.0,1740.0,1.0,2360.0,1888.0,2.0,1854.0,1483.2,,,,,,,,,,,,,,,,,,
Tim Teunis,8,4865,13.0,225.0,135.0,3.0,1416.0,849.6,11.0,870.0,522.0,5.0,1180.0,944.0,5.0,1030.0,824.0,11.0,618.0,618.0,4.0,1610.0,1610.0,5.0,1115.0,1115.0,4.0,1540.0,1540.0,,,,4.0,1715.0,1715.0
Jeroen Brus,9,4859,6.0,500.0,300.0,,,,6.0,1450.0,870.0,,,,,,,,,,,,,3.0,1784.0,1784.0,,,,,,,2.0,2205.0,2205.0
Simon Spengler,10,4743,,,,,,,,,,,,,3.0,1648.0,1318.4,,,,,,,6.0,1115.0,1115.0,1.0,2200.0,2200.0,6.0,1100.0,1100.0,5.0,1225.0,1225.0
Ward Nieboer,11,4301,9.0,300.0,180.0,,,,,,,,,,,,,,,,,,,4.0,1561.0,1561.0,3.0,1760.0,1760.0,,,,8.0,980.0,980.0
Stijn Slebos,12,4265,13.0,225.0,135.0,3.0,1416.0,849.6,15.0,652.0,391.2,5.0,1180.0,944.0,5.0,1030.0,824.0,11.0,618.0,618.0,4.0,1610.0,1610.0,5.0,1115.0,1115.0,4.0,1540.0,1540.0,17.0,330.0,330.0,8.0,980.0,980.0
Lauma Ernestsone,13,4194,16.0,225.0,135.0,,,,20.0,435.0,261.0,,,,2.0,1854.0,1483.2,,,,,,,,,,,,,,,,1.0,2450.0,2450.0
Rens Elbertsen,14,3915,,,,,,,,,,16.0,531.0,424.8,6.0,1030.0,824.0,9.0,618.0,618.0,6.0,1150.0,1150.0,7.0,892.0,892.0,5.0,1100.0,1100.0,4.0,1540.0,1540.0,6.0,1225.0,1225.0
Tomer Kedar,14,3915,,,,,,,18.0,435.0,261.0,13.0,531.0,424.8,6.0,1030.0,824.0,9.0,618.0,618.0,6.0,1150.0,1150.0,7.0,892.0,892.0,5.0,1100.0,1100.0,4.0,1540.0,1540.0,6.0,1225.0,1225.0
Thibault Mareschal,16,3752,4.0,700.0,420.0,,,,9.0,870.0,522.0,,,,,,,6.0,1030.0,1030.0,,,,,,,,,,1.0,2200.0,2200.0,,,
Joep Blanksma,17,3585,21.0,150.0,90.0,9.0,531.0,318.59999999999997,11.0,870.0,522.0,7.0,944.0,755.2,,,,,,,,,,6.0,1115.0,1115.0,,,,,,,4.0,1715.0,1715.0
Mark de Jong,18,3464,8.0,400.0,240.0,,,,7.0,1160.0,696.0,1.0,2360.0,1888.0,,,,,,,,,,,,,,,,7.0,880.0,880.0,,,
Patrick de Lange,19,3094,4.0,700.0,420.0,1.0,1770.0,1062.0,9.0,870.0,522.0,3.0,1888.0,1510.4,,,,,,,,,,,,,,,,,,,,,
